datetime,cart,Record Count,total_price
"Jun 20, 2021","{""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""mzv0v5y6vjg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""valrhona"":1}",1,240
"Jun 20, 2021","{""hella"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""4iawlq0m5er"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ur1fjj93xsc"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,600
"Jun 20, 2021","{""carrot_slice"":1,""bannutella~s"":1,""hella"":1,""pbj"":1}",1,697
"Jun 20, 2021","{""chocpudding-2lb"":1}",1,3180
"Jun 20, 2021","{""candy"":6,""cereal"":6,""loveislove&matcha,matcha,sexyback,sexyback,cereal,candy"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""kseeyab9c5"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,2819
"Jun 20, 2021","{""cereal"":2,""hella"":1,""cupc"":1,""chocpudding_slice"":1,""berry_slice"":1}",1,1020
"Jun 20, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""l1ysvm2mq28"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":3,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1,990
"Jun 20, 2021","{""care"":1}",1,1450
"Jun 20, 2021","{""loveislove&cornflakes,cornflakes,sexyback,sexyback,cereal,candy"":1}",1,671
"Jun 20, 2021","{""salt"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""f07f5dv6clt"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1,240
"Jun 20, 2021","{""cereal"":1,""cupc"":1,""hella"":2,""soft"":[{""count"":""0"",""price"":630,""quantity"":1,""id"":""mswymwx32qs"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1,1210
"Jun 20, 2021","{""loveislove&caramelly"":2}",1,1292
"Jun 20, 2021","{""cupc"":1,""deathchoc"":1}",1,300
"Jun 20, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""je5syhpstzq"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,425
"Jun 20, 2021","{""loveislove&cornflakes,cornflakes,sexyback,sexyback,candy,cereal"":1}",2,1335
"Jun 20, 2021","{""custom"":[{""title"":""2ปอนด์​ Chocolate​ ganache​"",""price"":2500,""quantity"":1,""id"":""nzb5s6t2zj""}]}",1,2500
"Jun 20, 2021","{""loveislove&caramelly"":1}",1,676
"Jun 20, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""1i5uedyyypt"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":0,""id"":""y3v8ffdprhi"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,1038
"Jun 20, 2021","{""redvelvet"":1,""bannutella~s"":1}",1,386
"Jun 20, 2021","{""berry-2lb"":1}",1,2669
"Jun 20, 2021","{""cereal"":0,""carrot-1lb#flower"":1,""carrot_slice"":1,""blackout_slice"":2}",1,2505
"Jun 20, 2021","{""berry-1lb"":1}",1,1697
"Jun 20, 2021","{""banultimate~s"":2,""mayong-2lb"":0,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""27zlburqjw8"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,620
"Jun 20, 2021","{""chocpudding-1lb#dearest"":1}",1,1858
"Jun 19, 2021","{""banana-1lb#dearest"":1}",1,1991
"Jun 19, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ec0hvn1vs6t"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""heart-S&ganache.gold"":1}",1,1000
