datetime,cart,Record Count,total_price
"May 30, 2021, 11:53:31 AM","{""cupc"":1,""pbj"":1}",1,300
"May 30, 2021, 11:40:11 AM","{""triplec"":2}",1,180
"May 30, 2021, 11:36:51 AM","{""deathchoc"":1,""banultimate~s"":1,""bannutella~s"":1}",1,410
"May 30, 2021, 11:36:41 AM","{""matcha"":1,""sexyback"":1}",1,180
"May 30, 2021, 11:19:02 AM","{""hella"":1}",1,150
"May 30, 2021, 11:03:18 AM","{""mamaog"":1,""doubletrouble"":1}",1,180
"May 30, 2021, 11:00:18 AM","{""matcha"":1}",1,90
"May 30, 2021, 11:00:13 AM","{""sexyback"":1,""triplec"":1}",1,180
"May 30, 2021, 10:59:08 AM","{""doubletrouble"":1,""triplec"":1}",1,180
"May 30, 2021, 10:48:09 AM","{""doubletrouble"":1,""sexyback"":1,""deathchoc"":0,""redvelvet"":1}",1,330
"May 30, 2021, 10:25:55 AM","{""cornflakes"":1}",1,90
"May 30, 2021, 10:19:15 AM","{""sexyback"":1}",1,90
"May 30, 2021, 10:14:50 AM","{""bannutella~s"":1,""matcha"":1}",1,220
"May 30, 2021, 10:14:23 AM","{""hella"":1}",1,150
"May 30, 2021, 10:04:37 AM","{""bae"":1,""redbrownie"":1,""fudge"":1}",1,120
"May 30, 2021, 9:46:42 AM","{""mamaog"":1}",1,90
"May 30, 2021, 9:46:34 AM","{""cupc"":1}",1,150
"May 30, 2021, 9:31:26 AM","{""deathchoc"":1}",1,150
"May 30, 2021, 9:18:20 AM","{""hella"":1}",1,150
"May 30, 2021, 9:16:26 AM","{""cornflakes"":1}",1,90
"May 30, 2021, 9:13:49 AM","{""matcha"":1}",1,90
"May 30, 2021, 8:52:21 AM","{""mamaog"":1,""banog~s"":1,""banultimate~s"":1,""bannutella~s"":1,""bancheese~s"":1}",1,630
"May 30, 2021, 8:42:43 AM","{""mamaog"":1,""triplec"":1,""doubletrouble"":2,""sexyback"":1}",1,450
"May 30, 2021, 8:33:43 AM","{""doubletrouble"":1}",1,90
"May 30, 2021, 8:31:51 AM","{""bae"":2,""redbrownie"":2,""fudge"":2}",1,240
"May 30, 2021, 7:58:27 AM","{""cupc"":1}",1,150
"May 30, 2021, 7:58:11 AM","{""triplec"":1}",1,90
"May 30, 2021, 7:57:58 AM","{""babyog"":1,""matcha"":2,""sexyback"":1,""mamaog"":1}",1,450
"May 30, 2021, 7:39:05 AM","{""redvelvet"":1,""salt"":1}",1,300
"May 30, 2021, 7:32:04 AM","{""sexyback"":2,""matcha"":2,""mamaog"":2,""doubletrouble"":1,""deathchoc"":1}",1,780
"May 30, 2021, 7:27:02 AM","{""cornflakes"":5}",1,450
"May 30, 2021, 7:24:59 AM","{""deathchoc"":1}",1,150
"May 30, 2021, 7:22:07 AM","{""triplec"":1}",1,90
"May 30, 2021, 7:07:57 AM","{""mamaog"":1,""doubletrouble"":1,""bancheese~s"":1}",1,330
"May 30, 2021, 7:03:30 AM","{""mamaog"":3,""sexyback"":4,""hella"":1,""doubletrouble"":1}",1,870
"May 30, 2021, 7:03:23 AM","{""cupc"":1,""pbj"":1}",1,300
"May 30, 2021, 7:00:35 AM","{""sexyback"":1,""cornflakes"":1,""babyog"":1,""mamaog"":1,""matcha"":1}",1,450
"May 30, 2021, 6:52:40 AM","{""sexyback"":1,""cupc"":1,""hella"":1}",1,390
"May 30, 2021, 6:41:03 AM","{""pbj"":3,""redvelvet"":1}",1,600
"May 30, 2021, 6:36:24 AM","{""babyog"":1}",1,90
"May 30, 2021, 6:35:48 AM","{""cupc"":1,""doubletrouble"":1}",1,240
"May 30, 2021, 6:35:35 AM","{""sexyback"":1,""cornflakes"":1,""mamaog"":1,""doubletrouble"":2}",1,450
"May 30, 2021, 6:16:24 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 30, 2021, 6:15:15 AM","{""mamaog"":2}",1,180
"May 30, 2021, 6:05:39 AM","{""babyog"":3,""mamaog"":3,""cupc"":1,""hella"":1}",1,840
"May 30, 2021, 6:00:57 AM","{""fudge"":1}",1,40
"May 30, 2021, 5:48:12 AM","{""deathchoc"":1}",1,150
"May 30, 2021, 5:13:14 AM","{""redvelvet"":1,""sexyback"":1}",1,240
"May 30, 2021, 5:13:02 AM","{""hella"":2,""matcha"":1,""cornflakes"":2,""doubletrouble"":1,""mamaog"":1}",1,750
"May 30, 2021, 3:59:11 AM","{""sexyback"":2,""triplec"":1}",1,270
"May 29, 2021, 1:53:34 PM","{""salt"":2,""doubletrouble"":3,""babyog"":4,""sexyback"":5,""mamaog"":3}",1,1560
"May 29, 2021, 1:26:00 PM","{""redbrownie"":2}",1,80
"May 29, 2021, 1:25:37 PM","{""redvelvet"":1,""babyog"":1,""sexyback"":1,""doubletrouble"":1}",1,420
"May 29, 2021, 12:59:40 PM","{""mamaog"":1}",1,90
"May 29, 2021, 12:48:23 PM","{""hella"":1,""deathchoc"":1,""pbj"":1}",1,450
"May 29, 2021, 12:45:54 PM","{""triplec"":1,""matcha"":1}",1,180
"May 29, 2021, 12:38:19 PM","{""sexyback"":1}",1,90
"May 29, 2021, 12:35:38 PM","{""pbj"":1,""hella"":1}",1,300
"May 29, 2021, 12:14:08 PM","{""cornflakes"":5}",1,450
"May 29, 2021, 12:08:59 PM","{""pbj"":1}",1,150
"May 29, 2021, 12:06:49 PM","{""doubletrouble"":1}",1,90
"May 29, 2021, 11:58:40 AM","{""cornflakes"":6}",1,540
"May 29, 2021, 11:51:25 AM","{""hella"":1}",1,150
"May 29, 2021, 11:44:44 AM","{""mamaog"":1,""doubletrouble"":1,""babyog"":1,""sexyback"":1,""matcha"":1}",1,450
"May 29, 2021, 11:22:17 AM","{""bae"":3,""redbrownie"":3,""fudge"":3,""babyog"":2,""triplec"":2,""sexyback"":2}",1,900
"May 29, 2021, 11:20:44 AM","{""cupc"":2}",1,300
"May 29, 2021, 11:07:28 AM","{""deathchoc"":1}",1,150
"May 29, 2021, 11:03:31 AM","{""sexyback"":1,""babyog"":1}",1,180
"May 29, 2021, 11:03:22 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 29, 2021, 10:40:45 AM","{""doubletrouble"":1}",1,90
"May 29, 2021, 10:28:26 AM","{""cupc"":1}",2,300
"May 29, 2021, 10:20:07 AM","{""sexyback"":1,""cornflakes"":1,""doubletrouble"":1}",1,270
"May 29, 2021, 10:17:42 AM","{""hella"":1}",1,150
"May 29, 2021, 10:09:39 AM","{""sexyback"":1}",1,90
"May 29, 2021, 10:09:31 AM","{""fudge"":6}",1,240
"May 29, 2021, 10:08:14 AM","{""sexyback"":1,""matcha"":2,""babyog"":1}",1,360
"May 29, 2021, 9:49:50 AM","{""pbj"":1,""redvelvet"":1}",1,300
"May 29, 2021, 9:49:45 AM","{""banog~s"":1}",1,130
"May 29, 2021, 9:49:38 AM","{""banog~s"":1,""doubletrouble"":1}",1,220
"May 29, 2021, 9:49:23 AM","{""doubletrouble"":1}",1,90
"May 29, 2021, 9:49:18 AM","{""bae"":1}",1,40
"May 29, 2021, 9:23:39 AM","{""triplec"":1,""babyog"":3}",1,360
"May 29, 2021, 9:06:00 AM","{""mamaog"":2,""cornflakes"":1,""doubletrouble"":1,""sexyback"":1,""salt"":1}",1,600
"May 29, 2021, 9:05:44 AM","{""pbj"":1,""sexyback"":2}",1,330
